"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60."
2016,"Nyakabande TC (Kisoro)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2016,"Nyumanzi RC (Adjumani)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2016,"Ocea RC (Rhino Camp )",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2016,"Oruchinga  ",692,1038,NA,603,1691,103,713,1061,NA,573,"1484",106
2016,"Palorinya RC (Moyo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2016,"Rwamanja  ",7025,7978,NA,3473,12016,620,7031,7737,NA,3675,"10786",581
2016,"Yumbe (Bidibidi)",8563,10435,NA,7421,15895,2246,8684,10467,NA,7974,"11576",879
2016,"Dispersed",18000,18000,NA,18000,18000,18000,18000,18000,NA,18000,"18000",18000
2017,"Adjumani  ",16062,32956,NA,22420,45280,4714,16735,34228,NA,23928,"28318",1808
2017,"Imvepi",10469,15768,NA,9441,26522,2131,10562,16254,NA,10279,"24650",1008
2017,"Kampala  ",3744,8143,NA,7225,29546,858,3816,8269,NA,7043,"34211",839
2017,"Kiryandongo  ",4360,7786,NA,5794,10358,889,4554,8244,NA,6400,"8762",492
2017,"Kyaka II",2493,3899,NA,2412,7118,540,2526,3932,NA,2448,"6803",485
2017,"Kyaka II RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2017,"Kyangwali  ",3953,4402,NA,2664,7195,483,3993,4578,NA,2714,"6294",437
2017,"Kyangwali RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2017,"Lamwo",2065,3053,NA,1653,4076,377,2189,3391,NA,1998,"2539",131
2017,"Lamwo RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2017,"Lobule",276,696,NA,523,787,77,267,710,NA,554,"511",40
2017,"Moyo",9942,17456,NA,12749,27935,3157,10131,17838,NA,13230,"19414",1502
2017,"Nakivale  ",8230,11330,NA,7970,22048,1110,8416,11667,NA,7991,"22265",982
2017,"Nakivale RC (Nakivale)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2017,"Nyakabande TC (Kisoro)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2017,"Nyumanzi RC (Adjumani)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2017,"Ocea RC (Rhino Camp )",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2017,"Oruchinga  ",580,831,NA,537,1467,89,613,869,NA,523,"1261",82
2017,"Palorinya RC (Moyo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2017,"Rhino Camp   ",8091,15168,NA,10452,25541,1615,8113,15179,NA,11312,"24165",777
2017,"Rwamanja  ",8428,9660,NA,4635,14876,925,8322,9395,NA,4719,"15226",849
2017,"Yumbe (Bidibidi)",29466,45145,NA,26277,45571,4558,29045,46969,NA,28331,"29703",2022
2017,"Dispersed",0,0,NA,0,0,0,0,0,NA,0,"*",0
2018,"Adjumani  ",17529,28335,NA,19396,38671,4842,17763,29087,NA,21316,"23845",1822
2018,"Imvepi",5804,7886,NA,4572,10523,1211,5878,8054,NA,4696,"7685",518
2018,"Kampala  ",2916,4566,NA,3787,15112,377,2909,4695,NA,3726,"16015",368
2018,"Kyaka II  ",8493,9328,NA,5315,17138,1083,8405,9547,NA,5301,"15988",884
2018,"Kiryandongo  ",3701,7508,NA,5880,10676,890,3837,7761,NA,6730,"7733",261
2018,"Kitgum",3550,4511,NA,2746,6725,680,3565,4948,NA,3281,"4631",245
2018,"Koboko",392,777,NA,565,896,79,359,769,NA,594,"557",47
2018,"Kyangwali  ",9548,10163,NA,5098,19885,1818,9496,10451,NA,5230,"14958",1259
2018,"Nakivale  ",8044,11442,NA,7799,22548,1098,8204,11546,NA,7766,"22788",1015
2018,"Oruchinga  ",614,854,NA,540,1573,97,627,908,NA,538,"1379",103
2018,"Palorinya",10055,14624,NA,10514,24201,3204,10133,15039,NA,10834,"18171",1729
2018,"Rhino Camp   ",8581,12990,NA,8966,18107,1553,8662,13319,NA,9814,"14063",663
2018,"Rwamanja  ",7094,9006,NA,4101,12608,730,7063,8756,NA,4195,"10848",670
2018,"Yumbe (Bidibidi)",25566,32310,NA,18940,37008,3553,24634,33586,NA,20289,"25503",1571
